fecha_hora,Real,ARIMA,Prophet,Random Forest
2024-08-24 00:00:00,0.0,5.264321085312291e-172,-14.93725822564464,0.0
2024-08-24 00:05:00,0.0,-1.475940276109643e-171,-17.001016770223124,0.0
2024-08-24 00:10:00,0.0,-1.6453199290004332e-171,-18.94835045620184,0.0
2024-08-24 00:15:00,0.0,-1.7792845369513242e-171,-20.750842532004395,0.0
2024-08-24 00:20:00,0.0,-1.7400212785861833e-171,-22.38191183451211,0.0
2024-08-24 00:25:00,0.0,-1.7067646880841827e-171,-23.817095859595714,0.0
2024-08-24 00:30:00,0.0,-1.6307381221287167e-171,-25.034311835829126,0.0
2024-08-24 00:35:00,0.0,-1.6147794389028026e-171,-26.014093278930435,0.0
2024-08-24 00:40:00,0.0,-1.607451274792465e-171,-26.739800098363727,0.0
2024-08-24 00:45:00,0.0,-1.6107006967196572e-171,-27.197800277811943,0.0
2024-08-24 00:50:00,0.0,-1.6140218705122326e-171,-27.377621495030525,0.0
2024-08-24 00:55:00,0.0,-1.6174966854298463e-171,-27.272071282059215,0.0
2024-08-24 01:00:00,0.0,-1.6185441941445e-171,-26.87732455339718,0.0
2024-08-24 01:05:00,0.0,-1.6188484997529006e-171,-26.192977633585866,0.0
2024-08-24 01:10:00,0.0,-1.6186259778603184e-171,-25.22206816815177,0.0
2024-08-24 01:15:00,0.0,-1.6183980574448299e-171,-23.97106059213885,0.0
2024-08-24 01:20:00,0.0,-1.6182219624939654e-171,-22.449797110084813,0.0
2024-08-24 01:25:00,0.0,-1.6181621969460127e-171,-20.67141442892408,0.0
2024-08-24 01:30:00,0.0,-1.6181517041193728e-171,-18.65222679099347,0.0
2024-08-24 01:35:00,0.0,-1.6181663015958714e-171,-16.41157608399449,0.0
2024-08-24 01:40:00,0.0,-1.618180508791768e-171,-13.971650138743769,0.0
2024-08-24 01:45:00,0.0,-1.6181898298151977e-171,-11.357270564758341,0.0
2024-08-24 01:50:00,0.0,-1.618193000514867e-171,-8.595651721279467,0.0
2024-08-24 01:55:00,0.0,-1.6181932396551748e-171,-5.716132726271472,0.0
2024-08-24 02:00:00,0.0,-1.6181922996900431e-171,-2.7498845289358465,0.0
2024-08-24 02:05:00,0.0,-1.6181914491361763e-171,0.2704055604363652,0.0
2024-08-24 02:10:00,0.0,-1.6181909492649671e-171,3.31086944403862,0.0
2024-08-24 02:15:00,0.0,-1.6181907891125528e-171,6.336811171896036,0.0
2024-08-24 02:20:00,0.0,-1.6181907941288862e-171,9.313074418724604,0.0
2024-08-24 02:25:00,0.0,-1.618190853678143e-171,12.204421468789159,0.0
2024-08-24 02:30:00,0.0,-1.6181909034481186e-171,14.975920647464202,0.0
2024-08-24 02:35:00,0.0,-1.618190930232966e-171,17.593338963854947,0.0
2024-08-24 02:40:00,0.0,-1.618190937973412e-171,20.023536709467145,0.0
2024-08-24 02:45:00,0.0,-1.6181909367056195e-171,22.23486071797473,0.0
2024-08-24 02:50:00,0.0,-1.6181909329946523e-171,24.197532906900058,0.0
2024-08-24 02:55:00,0.0,-1.6181909301285722e-171,25.884030873949634,0.0
2024-08-24 03:00:00,0.0,-1.6181909287040887e-171,27.26945717709858,0.0
2024-08-24 03:05:00,0.0,-1.61819092834861e-171,28.331894147087944,0.0
2024-08-24 03:10:00,0.0,-1.6181909284730572e-171,29.052741068997232,0.0
2024-08-24 03:15:00,0.0,-1.6181909287006535e-171,29.417030725005002,0.0
2024-08-24 03:20:00,0.0,-1.6181909288635805e-171,29.413722416906577,0.0
2024-08-24 03:25:00,0.0,-1.6181909289384786e-171,29.035968747709568,0.0
2024-08-24 03:30:00,0.0,-1.6181909289536602e-171,28.28135362502922,0.0
2024-08-24 03:35:00,0.0,-1.6181909289437895e-171,27.15209912153292,0.0
2024-08-24 03:40:00,0.0,-1.618190928930037e-171,25.65523915583173,0.0
2024-08-24 03:45:00,0.0,-1.6181909289208814e-171,23.802757979465664,0.0
2024-08-24 03:50:00,0.0,-1.618190928917e-171,21.61169202885629,0.0
2024-08-24 03:55:00,0.0,-1.618190928916429e-171,19.104193595397565,0.0
2024-08-24 04:00:00,0.0,-1.6181909289171387e-171,16.307555420363105,0.0
2024-08-24 04:05:00,0.0,-1.6181909289179585e-171,13.254195309540446,0.0
2024-08-24 04:10:00,0.0,-1.6181909289184673e-171,9.981600355592953,0.0
2024-08-24 04:15:00,0.0,-1.618190928918665e-171,6.53223053379386,0.0
2024-08-24 04:20:00,0.0,-1.6181909289186808e-171,2.9533819009006455,0.0
2024-08-24 04:25:00,0.0,-1.6181909289186325e-171,-0.702990281152301,0.0
2024-08-24 04:30:00,0.0,-1.6181909289185843e-171,-4.38048769802262,0.0
2024-08-24 04:35:00,0.0,-1.6181909289185562e-171,-8.018523292834798,0.0
2024-08-24 04:40:00,0.0,-1.6181909289185464e-171,-11.55261256399481,0.0
2024-08-24 04:45:00,0.0,-1.6181909289185464e-171,-14.914699979229368,0.0
2024-08-24 04:50:00,0.0,-1.6181909289185496e-171,-18.033518841845858,0.0
2024-08-24 04:55:00,0.0,-1.6181909289185523e-171,-20.834982204339845,0.0
2024-08-24 05:00:00,0.0,-1.618190928918554e-171,-23.242602587022784,0.0
2024-08-24 05:05:00,0.0,-1.6181909289185544e-171,-25.177937678729364,0.0
2024-08-24 05:10:00,0.0,-1.6181909289185544e-171,-26.56105927759608,0.0
2024-08-24 05:15:00,0.0,-1.6181909289185542e-171,-27.311042307491075,0.0
2024-08-24 05:20:00,0.0,-1.618190928918554e-171,-27.346470699293622,0.0
2024-08-24 05:25:00,0.0,-1.618190928918554e-171,-26.585956736947423,0.0
2024-08-24 05:30:00,0.0,-1.618190928918554e-171,-24.948670316851178,0.0
2024-08-24 05:35:00,0.0,-1.618190928918554e-171,-22.35487457485326,0.0
2024-08-24 05:40:00,0.0,-1.618190928918554e-171,-18.72646405572495,0.7685555436666667
2024-08-24 05:45:00,0.0,-1.618190928918554e-171,-13.987501800025004,0.7685555436666667
2024-08-24 05:50:00,0.0,-1.618190928918554e-171,-8.064751527015611,0.7685555436666667
2024-08-24 05:55:00,0.0,-1.618190928918554e-171,-0.8882011457408014,0.7685555436666667
2024-08-24 06:00:00,0.0,-1.618190928918554e-171,7.6084261254004355,16.356147941572647
2024-08-24 06:05:00,0.0,-1.618190928918554e-171,17.487176644550182,47.09371253715891
