Modelo,RMSE_promedio,RMSE_std,MAE_promedio,MAE_std,R2_promedio,R2_std,MAPE_promedio,MAPE_std
ARIMA,1041.7676485649924,347.0870418695756,823.0417611789238,350.57171542722153,-0.8973199739132085,1.269321035560795,303.113930670209,254.28535988158512
Prophet,594.4773651773537,299.42039623403207,346.13632904585256,173.76691765416902,0.29776241575395196,0.6283130624538041,92.41889359828674,23.836928740526968
Random Forest,367.30456356506363,40.02608115906263,190.03320951356008,29.3871202891485,0.7743526040066288,0.06135266815908665,82.85337889401895,17.756188122704955
