Variable,Importancia
hora,0.4513780249836152
wind_direction_10m,0.3177645011007336
wind_speed_10m,0.09698164549837504
relative_humidity,0.03446897718181809
air_temp,0.02909501696098653
dni,0.023248728634521525
dia_semana,0.01861313150297445
gti,0.012623435968791315
ghi,0.0075402279403052695
mes,0.006285799112161951
es_fin_semana,0.0020005111157169195
power (kW),0.0
eToday (kWh),0.0
eTotal (kWh),0.0
