Fold,ARIMA_RMSE,ARIMA_MAE,ARIMA_R2,ARIMA_MAPE,Prophet_RMSE,Prophet_MAE,Prophet_R2,Prophet_MAPE,RF_RMSE,RF_MAE,RF_R2,RF_MAPE
1,908.6804837862984,545.3543111035829,-0.5582341313555117,99.21595527253899,865.0597097712966,484.6675591506609,-0.412220404313034,99.77386304870817,415.954503826282,206.93927352237858,0.6734858748329582,92.99555364539395
2,853.225006647875,808.6850428564891,-0.17031016424926593,328.2234318445522,308.3275649359625,169.58333061285435,0.8471735475022181,57.19878116710117,333.50344786935153,172.35633854708075,0.821197131269408,56.491250490324695
3,1637.3041572321229,1426.479649426597,-3.1245510803255474,720.1838113767575,506.5429905486328,295.88341725210796,0.6052241498155901,122.85149930253144,354.8606356115919,165.7837905627238,0.8062536142811436,81.93715615767357
4,769.8310329919499,696.20114829179,-0.028217222567944455,267.94645485719644,337.6630419435236,211.3933473900017,0.8021841425055194,96.07506959770213,329.0800037893858,171.2776510660106,0.8121128698232157,103.98410234575152
5,1039.7975621667167,638.4886542161601,-0.6052872710677732,100.0,954.7935186873528,569.1539908236377,-0.3535493567405339,86.19525487539079,403.1242267287072,233.80899386960658,0.7587135298264179,78.85883183095099
