Variable,Importancia
hora,0.4442022397709957
wind_direction_10m,0.31648202671330744
wind_speed_10m,0.11289290587734391
relative_humidity,0.03340342414812302
dni,0.02536357451744608
air_temp,0.018880198655300634
dia_semana,0.016206560479489058
gti,0.011177648052908806
mes,0.010796489871113719
ghi,0.009347402677906189
es_fin_semana,0.0012475292360655788
power (kW),0.0
eToday (kWh),0.0
eTotal (kWh),0.0
