fecha_hora,Real,ARIMA,Prophet,Random Forest
2024-07-21 16:00:00,1140.900024,947.73632276503,931.5958984644667,728.6403735654809
2024-07-21 16:05:00,1892.5,975.5270862473183,909.6769648520273,734.529618859792
2024-07-21 16:10:00,1783.400146,967.2275000240934,887.3207146051463,741.1056342137254
2024-07-21 16:15:00,1747.033325,954.9007389018553,864.5307688384966,739.5156259200318
2024-07-21 16:20:00,1594.800171,932.7290980174273,841.3143707434932,742.9799521517651
2024-07-21 16:25:00,1555.049927,926.8905249117745,817.6824507058392,741.3058310508318
2024-07-21 16:30:00,1224.800049,924.5570414496727,793.6496599239889,734.854128000208
2024-07-21 16:35:00,962.25,926.4211885934377,769.2343720109169,761.6371113164873
2024-07-21 16:40:00,744.8499756,928.5514231975903,744.458652957431,779.7331276555648
2024-07-21 16:45:00,872.0,930.5747672389308,719.348199234502,814.1948627578288
2024-07-21 16:50:00,798.75,931.2054824731522,693.9322450476699,811.3365044711074
2024-07-21 16:55:00,763.2333374,931.302024756978,668.2434391633841,813.2018103157698
2024-07-21 17:00:00,680.9666138,931.0149186923952,642.3176923920311,893.5345701992691
2024-07-21 17:05:00,624.833313,930.7382942212141,616.1939972657544,839.4017913308433
2024-07-21 17:10:00,580.8666992,930.5427882843525,589.9142207166454,687.9238160006485
2024-07-21 17:15:00,539.6333008,930.4859096867289,563.5228721038118,701.6240066172286
2024-07-21 17:20:00,500.6000061,930.4938910589615,537.0668479203198,556.2509209473266
2024-07-21 17:25:00,452.3000183,930.5329590150197,510.5951554793945,551.2014528533622
2024-07-21 17:30:00,427.7000427,930.5656099445557,484.158617683487,548.4821338684789
2024-07-21 17:35:00,349.3666687,930.5844090745675,457.80956112235583,547.395640089516
2024-07-21 17:40:00,310.2666931,930.5885278570314,431.6014902214025,548.2222497295455
2024-07-21 17:45:00,303.8666687,930.585720129752,405.58874950602325,566.1413863971923
2024-07-21 17:50:00,307.2999878,930.5807534056319,379.8261773217825,547.628295065863
2024-07-21 17:55:00,309.5333252,930.5771149737911,354.3687529930562,527.1730543258493
2024-07-21 18:00:00,303.1999817,930.5753813351153,329.27124069112386,320.70680043686355
2024-07-21 18:05:00,295.6666565,930.5752096733381,304.58783248980853,328.4124220678652
2024-07-21 18:10:00,291.5,930.5757104562829,280.37179366137235,279.503864821505
2024-07-21 18:15:00,294.1666565,930.5763109162101,256.675112639729,277.73867910652405
2024-07-21 18:20:00,294.9333191,930.5766972312456,233.54815860615477,247.25346542724938
2024-07-21 18:25:00,295.2333374,930.5768453924863,211.0393492754944,240.64602657528908
2024-07-21 18:30:00,278.3000183,930.5768310529188,189.1948312813629,240.39085195414626
2024-07-21 18:35:00,271.2000122,930.5767576113119,168.05817608425406,216.14645031747997
2024-07-21 18:40:00,209.3666534,930.576688090655,147.67009304709973,222.4957254369548
2024-07-21 18:45:00,183.8666534,930.576649034313,128.0681625398341,223.27898624317797
2024-07-21 18:50:00,182.4000092,930.5766379996525,109.28659064191,221.76022189692367
2024-07-21 18:55:00,167.9333344,930.5766432507709,91.35598754929748,202.85407725149292
2024-07-21 19:00:00,165.5500031,930.576652988951,74.30317128627352,70.26502616072244
2024-07-21 19:05:00,137.3500061,930.5766607181696,58.15099814110966,47.67707848433732
