Variable,Importancia
hora,0.45430249529637895
wind_direction_10m,0.3115051293299856
wind_speed_10m,0.08407244093287086
relative_humidity,0.044501334436174315
air_temp,0.02785418158396166
dni,0.026376401430740673
dia_semana,0.021655753455398698
gti,0.015622939834922587
ghi,0.008268541263378858
mes,0.003960505245347555
es_fin_semana,0.0018802771908404156
power (kW),0.0
eToday (kWh),0.0
eTotal (kWh),0.0
