Variable,Importancia
hora,0.4385296118336502
wind_direction_10m,0.31851026633598906
wind_speed_10m,0.09831429864625914
air_temp,0.035094007255776716
relative_humidity,0.033676489032383274
dni,0.029798161035365735
dia_semana,0.01815625255298131
gti,0.01225982844562218
ghi,0.008321213603232413
mes,0.005573809074662554
es_fin_semana,0.0017660621840776072
power (kW),0.0
eToday (kWh),0.0
eTotal (kWh),0.0
