Variable,Importancia
hora,0.5945903606299333
relative_humidity,0.16602000335623981
wind_speed_10m,0.10715780769918652
wind_direction_10m,0.054107512142776246
dia_semana,0.02296397474614641
ghi,0.01460999849320935
es_fin_semana,0.014229291359766071
gti,0.0115114254360986
dni,0.011473803594107263
air_temp,0.003335822542536339
power (kW),0.0
eTotal (kWh),0.0
eToday (kWh),0.0
mes,0.0
