Periodo,Dias_Evaluacion,Modelo,RMSE,MAE,R2,MAPE,N_Train,N_Test,Train_Inicio,Train_Fin,Test_Inicio,Test_Fin
30_dias,30,ARIMA,977.1780791383972,582.7270029992512,-0.5518727730590913,100.0,18720,8640,2024-06-20,2024-08-23 23:55:00,2024-08-24,2024-09-22 23:55:00
30_dias,30,Prophet,341.5442183328884,179.3708379714218,0.8104156177672687,104.0665186916917,18720,8640,2024-06-20,2024-08-23 23:55:00,2024-08-24,2024-09-22 23:55:00
30_dias,30,Random Forest,371.616604645547,204.93337465444714,0.7755607009211893,94.57377481794273,18720,8640,2024-06-20,2024-08-23 23:55:00,2024-08-24,2024-09-22 23:55:00
60_dias,60,ARIMA,1003.1553240375242,608.6840100693172,-0.5827021356056481,100.0,10080,17280,2024-06-20,2024-07-24 23:55:00,2024-07-25,2024-09-22 23:55:00
60_dias,60,Prophet,1665.6341089816387,968.2621967268349,-3.3633699369451913,313.8695128655755,10080,17280,2024-06-20,2024-07-24 23:55:00,2024-07-25,2024-09-22 23:55:00
60_dias,60,Random Forest,368.480429864725,201.83331689714157,0.786453883402957,92.15005639721359,10080,17280,2024-06-20,2024-07-24 23:55:00,2024-07-25,2024-09-22 23:55:00
90_dias,90,ARIMA,988.0346872970024,600.1635516877727,-0.5847188059196604,100.0,1440,25920,2024-06-20,2024-06-24 23:55:00,2024-06-25,2024-09-22 23:55:00
90_dias,90,Prophet,26340.217198320945,16326.557410809126,-1125.2804137965052,4515.263800422928,1440,25920,2024-06-20,2024-06-24 23:55:00,2024-06-25,2024-09-22 23:55:00
90_dias,90,Random Forest,482.22761601597944,281.8584447043785,0.6225043220218556,89.6298131605198,1440,25920,2024-06-20,2024-06-24 23:55:00,2024-06-25,2024-09-22 23:55:00
