Periodo,Modelo,RMSE,MAE,R2,MAPE
1_mes,ARIMA,977.1780791383972,582.7270029992512,-0.5518727730590913,100.0
1_mes,Prophet,596.2997256142348,459.5535240272165,0.4221196850919784,241.33855247424913
1_mes,RandomForest,351.0754410830079,185.90433269528063,0.7996867939006603,87.7957497913433
2_meses_bimestral,ARIMA,1003.1553240375242,608.6840100693172,-0.5827021356056481,100.0
2_meses_bimestral,Prophet,1645.1199336134885,1345.5006950162274,-3.256552093585169,457.2038855803658
2_meses_bimestral,RandomForest,387.4788492217215,212.59080385149574,0.7638658357407989,91.90437816869355
3_meses_trimestral,ARIMA,988.0346872970024,600.1635516877727,-0.5847188059196604,100.0
3_meses_trimestral,Prophet,26160.521688234745,19745.661816128413,-1109.9656441215448,5508.797345119983
3_meses_trimestral,RandomForest,501.586551322344,293.6915683862024,0.5915869644375289,98.04682737039191
