Periodo,Modelo,RMSE,MAE,R2,MAPE,Dias
1_mes,ARIMA,977.1780791383972,582.7270029992512,-0.5518727730590913,100.0,30
1_mes,Prophet,596.2997256142348,459.5535240272165,0.4221196850919784,241.33855247424913,30
1_mes,RandomForest,351.8856504510562,186.4145358648281,0.7987611643096364,87.64918218010395,30
2_meses_bimestral,ARIMA,1003.1553240375242,608.6840100693172,-0.5827021356056481,100.0,60
2_meses_bimestral,Prophet,1645.1199336134885,1345.5006950162274,-3.256552093585169,457.2038855803658,60
2_meses_bimestral,RandomForest,387.5401466998225,212.58129505721257,0.7637911190243243,91.8020330535622,60
3_meses_trimestral,ARIMA,988.0346872970024,600.1635516877727,-0.5847188059196604,100.0,90
3_meses_trimestral,Prophet,26160.521688234745,19745.661816128413,-1109.9656441215448,5508.797345119983,90
3_meses_trimestral,RandomForest,497.3978779548097,291.07080934443974,0.5983796739524807,97.71369262317026,90
