Fold,ARIMA_RMSE,ARIMA_MAE,ARIMA_R2,ARIMA_MAPE,Prophet_RMSE,Prophet_MAE,Prophet_R2,Prophet_MAPE,RF_RMSE,RF_MAE,RF_R2,RF_MAPE
1,908.6804837862984,545.3543111035829,-0.5582341313555117,99.21595527253899,934.3713576180222,605.7480625595435,-0.6475907526770821,138.53362455043296,415.1094940387697,206.38441123462326,0.6748111514024275,92.75123805442846
2,853.225006647875,808.6850428564891,-0.17031016424926593,328.2234318445522,354.8486436089228,229.94072262953978,0.7975768750605281,73.22697292732641,332.80600101971027,171.89076005369296,0.821944200612537,56.37025165493246
3,1637.3041572321229,1426.479649426597,-3.1245510803255474,720.1838113767575,533.9224199934396,404.5479556648993,0.5613942984260663,169.09768117015813,354.6179261462559,165.7728248634047,0.806518552094713,81.85826194131512
4,769.8310329919499,696.20114829179,-0.028217222567944455,267.94645485719644,404.21453555299024,271.4943369898893,0.716522953623727,161.7204419506527,328.75851217861515,171.08264626035646,0.8124797996263178,104.32436629659287
5,1039.7975621667167,638.4886542161601,-0.6052872710677732,100.0,945.1844275579854,612.1094257047017,-0.3264420703394366,97.72930572045539,404.25214851781845,234.57653320687496,0.7573614255201243,78.90694434108482
