,,RMSE,MAE,R2,MAPE
1_mes,ARIMA,977.1780791383972,582.7270029992512,-0.5518727730590913,51.49305555555556
1_mes,Prophet,1505.2040311761193,1224.714161977172,-2.6821326265757657,38852.73883671663
1_mes,RandomForest,371.42100482436905,203.80444994352007,0.7757969052930751,761.7299269652824
2_meses_bimestral,ARIMA,1003.1553240375242,608.6840100693172,-0.5827021356056481,52.905092592592595
2_meses_bimestral,Prophet,2876.5667741315647,2261.4496497937935,-12.01402819067317,58520.5580428507
2_meses_bimestral,RandomForest,368.35864460303816,202.3560576907129,0.7865950169334153,1426.6228630712926
3_meses_trimestral,ARIMA,988.0346872970024,600.1635516877727,-0.5847188059196604,54.06635802469136
3_meses_trimestral,Prophet,13320.765495357891,8845.627728487249,-287.0488819542443,184546.69207152136
3_meses_trimestral,RandomForest,474.585173912393,277.40608302018796,0.6343747658571504,596.7044921561762
